A2AHGDQCCO5B92,B00006IUWA,5.0
A2AHGDQCCO5B92,B0000CBJJL,5.0
A2AHGDQCCO5B92,B000AAM0EY,5.0
A2AHGDQCCO5B92,B007ZF638G,5.0
A2YKWYC3WQJX5J,B00005B8K5,2.0
A2YKWYC3WQJX5J,B0000BYC4B,5.0
A2YKWYC3WQJX5J,B000GTR2F6,5.0
A2YKWYC3WQJX5J,B0035E63WM,3.0
AJWRNDYMNR8HZ,B00004S7V8,5.0
AJWRNDYMNR8HZ,B00005IBX9,5.0
AJWRNDYMNR8HZ,B00005UP2K,3.0
AJWRNDYMNR8HZ,B0000CF3Q6,5.0
A2Q3W6WA59IKA,B00009R66F,4.0
A2Q3W6WA59IKA,B000MDHH06,4.0
A2Q3W6WA59IKA,B000QFDNP8,5.0
A2Q3W6WA59IKA,B005GUGBS4,4.0
AVZVZ4D6423I6,B000DLB2FI,5.0
AVZVZ4D6423I6,B000EGA6QI,4.0
AVZVZ4D6423I6,B000TYBWIG,4.0
AVZVZ4D6423I6,B002S52ZDU,5.0
A2IZ9ZSFBW7JX8,B00004S7V8,5.0
A2IZ9ZSFBW7JX8,B00395BD68,5.0
A2IZ9ZSFBW7JX8,B004412GTO,5.0
A2IZ9ZSFBW7JX8,B005GUGBS4,4.0
A3FN2UNQ8HB2OA,B00006IUWM,4.0
A3FN2UNQ8HB2OA,B000MDHH06,5.0
A3FN2UNQ8HB2OA,B000VENLF6,5.0
A3FN2UNQ8HB2OA,B002YD99Y4,5.0
A8ZGOHBASTFB0,B00005UP2K,5.0
A8ZGOHBASTFB0,B00006JSUA,5.0
A8ZGOHBASTFB0,B0000AR7SY,5.0
A8ZGOHBASTFB0,B001N07KUE,5.0
A3W0QBWMP2V3K5,B00004OCKR,5.0
A3W0QBWMP2V3K5,B00006IUWA,5.0
A3W0QBWMP2V3K5,B00006JSUA,5.0
A3W0QBWMP2V3K5,B0000CF3Q6,4.0
A3W0QBWMP2V3K5,B0002Y5X92,5.0
A3W0QBWMP2V3K5,B000COC5MK,5.0
A3W0QBWMP2V3K5,B000FFVJ3C,4.0
A3W0QBWMP2V3K5,B001N07KUE,4.0
A3W0QBWMP2V3K5,B002PY7AYS,5.0
A3W0QBWMP2V3K5,B003PWK2A8,5.0
A3VI0THX3CCWDF,B0000632QE,5.0
